Zalcalの命令列,オリジナル,不明,ppl
<code> newInsn dup aload aload,1,1,5702.54
<code> newInsn dup invokespecial putstatic,1,1,1752.79
aaload astore aload ldc invokevirtual,1,1,7858.07
aastore gotoInsn aload iload newInsn,1,1,2122.09
aastore iinc iload aload getfield,1,1,8712.84
aastore invokevirtual astore aload aconstNull,1,1,11657.5
aconstNull aconstNull aload aconstNull aconstNull,1,1,15713.1
aconstNull aload aconstNull aconstNull invokevirtual,1,1,13152
aconstNull areturn newInsn dup invokespecial,1,1,10820.3
aconstNull iconst1 anewarray dup iconst0,1,1,36077.1
aconstNull invokespecial astore invokestatic aload,1,1,10380.1
aconstNull invokespecial astore newInsn dup,1,1,4730.52
aconstNull putfield aload aload putfield,1,1,4416.47
aconstNull putfield aload getfield ldc,1,1,10658.6
aconstNull putfield aload iconst0 putfield,1,1,7783.63
aconstNull putfield aload newInsn dup,1,1,4453.39
aload aastore invokevirtual pop returnInsn,1,1,3287.74
aload aconstNull aconstNull invokevirtual returnInsn,1,1,3702.36
aload aconstNull iconst1 anewarray dup,1,1,11179.8
aload aconstNull invokespecial astore invokestatic,1,1,18330.3
aload aconstNull putfield aload aload,1,1,3883.84
aload aconstNull putfield aload getfield,1,1,4174.29
aload aconstNull putfield aload iconst0,1,1,17981.8
aload aconstNull putfield aload newInsn,1,1,2639.94
aload aload aload getfield invokespecial,1,1,2063.53
aload aload getfield invokespecial areturn,1,1,2051.66
aload aload getfield invokespecial ldc,1,1,7935.83
aload aload invokeinterface anewarray invokeinterface,1,1,8289.46
aload aload invokespecial aload aload,1,1,4800.06
aload aload invokespecial putfield returnInsn,1,1,2513.35
aload aload invokestatic putfield aload,1,1,7898.76
aload aload invokevirtual aload bipush,1,1,30194.2
aload aload ldc invokevirtual aload,1,1,3081.54
aload aload ldc invokevirtual putfield,1,1,3381.22
aload aload ldc ldc iconstM1,1,1,14164.3
aload aload lload bipush lshr,,1,8049.9
aload aload newInsn dup invokespecial,1,1,13987.3
aload areturn pop aload invokeinterface,1,1,8820.48
aload astore aload aload ldc,1,1,41008.6
aload astore gotoInsn aload invokevirtual,1,1,9008.19
aload bipush iconst2 invokevirtual invokestatic,1,1,36508.4
aload bipush iload invokevirtual aload,3,1,4541.37
aload bipush lload l2i invokevirtual,,1,35704.7
aload dconst1 putfield aload iconst0,1,1,31301.7
aload dconst1 putfield aload ldc,1,1,35265.6
aload getfield aload getfield aload,1,1,4301.92
aload getfield aload invokeinterface areturn,1,1,2503.33
aload getfield aload invokevirtual astore,1,1,3958.49
aload getfield arraylength anewarray astore,1,1,10850.6
aload getfield arraylength ifIcmplt newInsn,1,1,1188.71
aload getfield astore ldc astore,1,1,10292.5
aload getfield iconst0 invokevirtual newInsn,1,1,1120.19
aload getfield iconst1 aload invokestatic,1,1,5330.05
aload getfield iload aaload astore,1,1,4228.2
aload getfield invokespecial areturn aload,1,1,15366.9
aload getfield invokespecial ldc ldc,1,1,29228.4
aload getfield invokespecial putfield returnInsn,1,1,2656.45
aload getfield invokevirtual aload getfield,1,1,1637.87
aload getfield invokevirtual astore newInsn,1,1,2540.47
aload getfield invokevirtual invokevirtual returnInsn,1,1,2032.55
aload getfield invokevirtual ldc invokestatic,1,1,10704.8
aload getfield invokevirtual ldc ldiv,1,1,3312.28
aload getfield invokevirtual lsub l2d,1,1,3863.25
aload getfield ldc invokespecial astore,1,1,14523.1
aload getfield ldc invokestatic invokevirtual,1,1,5954.31
aload getfield sipush bipush bipush,1,1,63036.2
aload iconst0 iconst2 invokevirtual invokestatic,1,1,9805.58
aload iconst0 invokevirtual aload getfield,1,1,3828.74
aload iconst0 putfield aload iconst1,1,1,16551.2
aload iconst0 putfield aload iconst2,1,1,17749.9
aload iconst0 putfield aload iconst3,1,1,21780.1
aload iconst0 putfield aload iconst4,1,1,15904.6
aload iconst0 putfield aload lconst0,1,1,21461.4
aload iconst0 putfield aload ldc,1,1,24487.1
aload iconst1 putfield aload dconst1,1,1,13858.8
aload iconst1 putfield aload iconst3,1,1,23483.9
aload iconst3 iconst2 invokevirtual invokestatic,1,1,40453.6
aload iconst3 invokevirtual aload getfield,1,1,4069.41
aload iconst4 putfield aload iconst2,1,1,28194.2
aload iconst5 invokevirtual astore gotoInsn,1,1,10283.8
aload ifnonnull aconstNull areturn newInsn,1,1,2284.33
aload ifnonnull ldc astore aload,1,1,8851.78
aload ifnonnull newInsn dup newInsn,1,1,1245.91
aload ifnull newInsn dup aconstNull,1,1,11686.8
aload invokeinterface anewarray invokeinterface checkcast,1,1,3001.33
aload invokeinterface areturn aconstNull areturn,1,1,3766.5
aload invokeinterface checkcast astore aload,1,1,4107.77
aload invokeinterface ifne getstatic ldc,1,1,17074.5
aload invokespecial invokestatic aload getfield,1,1,3957.17
aload invokespecial invokevirtual aload getfield,1,1,3126.57
aload invokestatic astore aload ldc,1,1,8473.61
aload invokestatic putfield aload getfield,1,1,4967.99
aload invokevirtual aastore invokevirtual astore,1,1,9455.56
aload invokevirtual aload aload ldc,1,1,32048.1
aload invokevirtual aload bipush iload,1,1,23807
aload invokevirtual aload getfield iconst1,1,1,7915.83
aload invokevirtual aload iconst0 invokevirtual,1,1,6073.9
aload invokevirtual aload ldc putfield,1,1,4664.55
aload invokevirtual aload newInsn dup,1,1,3297.61
aload invokevirtual astore aload aload,1,1,1619.33
aload invokevirtual astore aload ifnonnull,1,1,1993.36
aload invokevirtual astore aload ifnull,1,1,2070.74
aload invokevirtual astore aload ldc,1,1,7006.1
aload invokevirtual gotoInsn astore aload,1,1,5040.61
aload invokevirtual i2l lload dup2X2,,1,28171.8
aload invokevirtual ifeq newInsn dup,1,1,4452.61
aload invokevirtual ifIcmplt aload aload,1,1,10871.5
