Zalcalの命令列,オリジナル,不明,ppl
invokevirtual getfield aload getfield invokevirtual,,,2061.59
invokevirtual getfield invokevirtual astore newInsn,,,8059.21
invokevirtual getfield invokevirtual checkcast invokevirtual,,,14876.2
invokevirtual getfield newInsn dup aload,,,21684.1
invokevirtual getfield sipush bipush bipush,,,179664
invokevirtual gotoInsn astore aload aload,,,5043.17
invokevirtual iconst0 aload dup aload,,,229963
invokevirtual iconst1 ifne aconstNull aconstNull,,,17566.6
invokevirtual ifeq aload astore aload,,,7239.58
invokevirtual ifIcmplt aload dup invokeinterface,,,250991
invokevirtual ifne aload areturn iconst1,,,7507.38
invokevirtual iinc iload ixor i2c,,,214656
invokevirtual iload invokevirtual getfield aload,,,45413.2
invokevirtual iload invokevirtual iload invokevirtual,,,7438.25
invokevirtual iload invokevirtual ldc invokestatic,,,18954.2
invokevirtual iload invokevirtual ldc invokevirtual,2,,5704.1
invokevirtual iload ixor i2c castore,,,30436.3
invokevirtual invokeinterface pop iload iconst1,1,,35083.3
invokevirtual invokespecial aastore gotoInsn iload,,,17571.4
invokevirtual invokespecial aastore iload iconst1,,,51814.3
invokevirtual invokestatic astore invokestatic invokevirtual,,,11196.5
invokevirtual invokestatic istore aload bipush,1,,34906.9
invokevirtual invokestatic istore aload gotoInsn,,,8202.44
invokevirtual invokestatic istore aload iconst3,1,,36912
invokevirtual invokestatic istore bipush iconst2,,,27777.3
invokevirtual invokestatic istore gotoInsn iload,,,18971.7
invokevirtual invokestatic istore iconst3 iconst2,,,33063.2
invokevirtual invokevirtual astore aload gotoInsn,,,11828.9
invokevirtual invokevirtual astore gotoInsn dup,,,9897.96
invokevirtual invokevirtual dup astore areturn,,,3078.37
invokevirtual invokevirtual getfield invokevirtual checkcast,,,16713.1
invokevirtual invokevirtual getfield newInsn dup,,,20017
invokevirtual invokevirtual invokespecial aastore iload,,,16384.3
invokevirtual invokevirtual invokevirtual getfield invokevirtual,,,8203.48
invokevirtual istore iload iconst1 isub,,,14958.2
invokevirtual istore iload iconstM1 ifIcmpne,1,,1307.8
invokevirtual istore iload iload ifIcmple,1,,1248.14
invokevirtual l2i bipush irem iconst1,,,25218.6
invokevirtual l2i istore newInsn dup,2,,17163.8
invokevirtual ldc invokestatic astore getfield,,,60578.4
invokevirtual ldc invokestatic invokevirtual dup,,,18237.8
invokevirtual ldc invokestatic invokevirtual ifeq,,,3278.3
invokevirtual ldc invokestatic invokevirtual iload,,,13313.6
invokevirtual ldc invokestatic invokevirtual invokevirtual,,,6845.3
invokevirtual ldc invokevirtual iload invokevirtual,2,,8230.65
invokevirtual ldc ldiv lstore getfield,,,51169.1
invokevirtual newInsn dup aload invokespecial,,,4446.23
invokevirtual newInsn dup invokespecial putfield,,,13905.1
invokevirtual newInsn dup invokespecial putstatic,,,6251.99
invokevirtual newInsn dup ldc invokestatic,,,8814.95
invokevirtual newInsn dup newInsn dup,,,3785.39
invokevirtual pop2 pop2 pop2 pop2,,,1.05E+07
invokevirtual putfield invokevirtual dup astore,,,179666
invokevirtual putfield putfield putfield getfield,,,1.53E+06
invokevirtual sipush invokevirtual newInsn dup,,,13323.2
irem iconst1 ifne pop aconstNull,,,55992
irem istore iload i2l iconst0,,,8562.86
ishl aload invokevirtual dup newarray,,,1.35E+06
ishl iconst2 dup ishl iconst3,,,5.00E+06
ishl iconst2 iconst5 ixor iconst3,,,1.36E+06
ishl iconst2 iconst5 ixor ixor,,,1.19E+06
ishl iconst2 ixor iconst2 iconst3,,,1.93E+06
ishl iconst2 ixor iconst3 iconst5,,,1.38E+06
ishl iconst3 ixor ixor iconst1,,,1.33E+06
istore aload bipush iconst2 invokevirtual,1,,11297.6
istore aload dup dupX1 iconst0,,,2.61E+06
istore aload gotoInsn astore aload,,,62841.3
istore aload iconst3 iconst2 invokevirtual,1,,52577.5
istore aload invokevirtual ifIcmplt aload,,,57758.2
istore astore istore dupX2 pop,,,122119
istore astore istore dupX2 pop2,,,451779
istore bipush iconst2 invokevirtual invokestatic,,,187547
istore dload ldc ddiv dup2,,,30888.7
istore dupX2 pop istore pop,,,1.37E+06
istore dupX2 pop2 istore iflt,,,2.90E+06
istore gotoInsn aload bipush iload,1,,23129
istore gotoInsn iload iconst1 isub,,,13095.2
istore iconst0 istore aload dup,,,23316.2
istore iconst0 istore aload iconst0,1,,16552.3
istore iconst0 istore iconst0 istore,1,,3486.2
istore iconst3 iconst2 invokevirtual invokestatic,,,125324
istore iconstM1 ifIcmpne aload invokevirtual,,,8598.86
istore iflt aload aload iload,,,65782.4
istore iload aload invokevirtual ifIcmplt,1,,1982.69
istore iload i2l iconst0 i2l,,,5499.68
istore iload iconst1 isub istore,,,4878.52
istore iload iconst2 irem istore,,,6057.24
istore iload iconstM1 ifIcmpne aload,1,,4039.82
istore iload iload ifIcmple aload,1,,5001.91
istore iload iload imul istore,,,5078.85
istore pop iflt aload aload,,,739284
isub dupX2 istore astore istore,,,129654
isub istore iload iload imul,,,15170.5
ixor aload invokevirtual dup newarray,,,1.34E+06
ixor i2c castore iload gotoInsn,,,182689
ixor i2c castore iload iflt,,,12115.7
ixor iconst1 iand nop ifne,,,3058.76
ixor iconst1 iconst3 ishl iconst2,,,685844
ixor iconst2 iconst3 ishl iconst2,,,586905
ixor iconst3 iconst5 ixor iconst3,,,1.01E+06
ixor iconst3 ishl aload invokevirtual,,,80384.7
ixor iconst3 ishl iconst2 iconst5,,,512764
ixor iconst4 ishl iconst2 dup,,,543312
ixor ixor aload invokevirtual dup,,,646441
ixor ixor iconst1 iconst3 ishl,,,981604
l2i bipush irem iconst1 ifne,,,206493
l2i istore newInsn dup aload,2,,13270.8
ladd lreturn iconst1 ifne aconstNull,,,464898
lcmp iconst1 ixor iconst1 iand,,,17832.8
lcmp newInsn swap ifge dup,,,1.70E+07
lconst0 aload dupX2 lconst0 dup2,,,2.81E+06
lconst0 dup2 aload dupX2 iconst0,,,421848
lconst1 ladd lreturn iconst1 ifne,,,194114
ldc aload aload dupX2 ldc,,,1.11E+06
ldc aload dup dupX2 aconstNull,,,1.75E+06
ldc aload dupX2 dconst1 aload,,,2.19E+06
ldc aload dupX2 iconst1 aload,,,743954
ldc aload dupX2 iconst1 putfield,,,543202
ldc astore aload dup aload,,,60807.6
ldc dadd ldc ddiv dup2,,,7310.54
ldc ddiv dup2 dstore ldc,,,33336.4
ldc ddiv ldc ddiv ldc,,,19128.8
ldc dload dmul ldc drem,,,9155.78
ldc iconst0 aload dup dupX2,,,704705
ldc iconst1 ifne pop pop,,,26730.3
ldc iconstM1 aload aconstNull dupX1,,,27295
ldc invokestatic astore getfield aload,,,231763
ldc invokestatic astore lload lload,,,47566.4
ldc invokestatic astore newInsn dup,,,5443.87
ldc invokestatic invokespecial aload getfield,,,6437.46
ldc invokestatic invokespecial astore getfield,,,49322
ldc invokestatic invokespecial putfield getfield,,,79426.6
ldc invokestatic invokestatic invokespecial putfield,,,13600.3
ldc invokestatic invokestatic invokevirtual getfield,,,26939.9
ldc invokestatic invokevirtual aconstNull areturn,,,6863.56
ldc invokestatic invokevirtual dup astore,,,12820.6
ldc invokestatic invokevirtual ifeq aload,,,4857.73
ldc invokestatic invokevirtual iload invokevirtual,,,9190.18
ldc invokestatic invokevirtual invokestatic astore,,,10991.3
ldc invokestatic invokevirtual invokevirtual astore,,,9853.97
ldc invokestatic invokevirtual invokevirtual dup,,,20561.8
ldc invokestatic invokevirtual invokevirtual invokespecial,,,6583.96
ldc invokestatic invokevirtual invokevirtual invokevirtual,,,4166.37
ldc invokestatic invokevirtual pop2 pop2,,,201792
ldc invokevirtual aload getfield iload,2,,8034.25
ldc invokevirtual aload swap ifeq,,,239575
ldc invokevirtual iload invokevirtual ldc,2,,14104
ldc invokevirtual newInsn dup invokespecial,,,13486.4
ldc invokevirtual putfield invokevirtual dup,,,240131
ldc invokevirtual sipush invokevirtual newInsn,,,1825.97
ldc ldc iconstM1 aload aconstNull,,,28475.6
ldc ldc invokevirtual sipush invokevirtual,,,17816.2
ldc ldiv lstore getfield invokevirtual,,,59649.7
ldc ldiv lstore ldc invokestatic,,,34164.8
ldc putfield putfield getfield aload,,,868596
ldiv lstore getfield invokevirtual ldc,,,343582
ldiv lstore ldc invokestatic astore,,,39998.5
lload lcmp newInsn swap ifge,,,2.08E+06
lload lload lcmp newInsn swap,,,89363
lreturn iconst1 ifne aconstNull astore,,,313977
lstore getfield invokevirtual ldc ldiv,,,78490.9
lstore ldc invokestatic astore lload,,,77951
newarray iconst1 dup pop2 swap,,,3.93E+06
newInsn dup aload dup dupX1,,,164216
newInsn dup aload dupX2 getfield,,,2238.2
newInsn dup aload invokespecial areturn,,,1817.21
newInsn dup invokespecial astore newInsn,,,4124.71
newInsn dup invokespecial putfield getfield,,,23000.9
newInsn dup invokespecial putfield newInsn,,,1810.11
newInsn dup invokespecial putfield putfield,,,20231.9
newInsn dup ldc invokestatic invokestatic,,,22146.5
newInsn swap ifge dup aload,,,4.53E+06
nop ifne aconstNull astore gotoInsn,,,64171.7
nop ifne iconst0 gotoInsn iload,,,161000
nop ifne pop iconst0 aconstNull,,,1.01E+06
pop aconstNull aconstNull astore aconstNull,,,16678.4
pop aconstNull aconstNull astore gotoInsn,,,23617
pop aconstNull astore gotoInsn ireturn,,,24243.2
pop aconstNull astore gotoInsn ldc,,,32169.5
pop iconst0 aconstNull astore gotoInsn,,,129168
pop iflt aload aload iload,,,564550
pop iload iconst1 iadd dup,,,13620.3
pop iload iconst1 iadd istore,1,,8779.07
pop istore pop iflt aload,,,3.48E+06
pop pop aconstNull astore gotoInsn,,,45044
pop pop pop aconstNull astore,,,198804
pop2 invokestatic invokestatic invokestatic checkcast,,,106938
pop2 istore iflt aload aload,,,283977
pop2 pop2 invokestatic invokestatic invokestatic,,,921077
pop2 pop2 pop2 invokestatic invokestatic,,,5.47E+06
pop2 pop2 pop2 pop2 invokestatic,,,3.47E+07
pop2 pop2 pop2 pop2 pop2,,,1.12E+08
pop2 swap iconst1 isub dupX2,,,640363
putfield aload invokevirtual aload aload,,,4352.83
putfield getfield aload getfield invokevirtual,,,11725.9
putfield getfield aload invokevirtual aload,,,17353.5
putfield getfield aload invokevirtual iconst0,,,107256
putfield getfield aload invokevirtual putfield,,,40296.4
putfield getfield iconst0 invokevirtual newInsn,,,15868.1
putfield getfield ifnull aload getfield,,,16565.7
putfield getfield ldc invokestatic invokestatic,,,168008
putfield getfield ldc invokestatic invokevirtual,,,84552.6
putfield invokespecial putfield invokespecial putfield,,,219947
putfield invokespecial putfield putfield putfield,,,731003
putfield invokestatic invokevirtual invokevirtual getfield,,,45119.7
putfield invokevirtual dup astore ifnonnull,,,22275.2
putfield newInsn dup aload dupX2,,,14415
putfield newInsn dup bipush invokespecial,,,8695.2
putfield newInsn dup iconst3 invokespecial,,,4048.07
putfield newInsn dup invokespecial dupX1,,,30633
putfield newInsn dup invokespecial putfield,,,12697.1
putfield putfield getfield aload invokevirtual,,,163670
putfield putfield getfield ldc invokestatic,,,670354
putfield putfield invokestatic invokevirtual invokevirtual,,,48577.7
putfield putfield newInsn dup invokespecial,,,21745.2
putfield putfield putfield getfield aload,,,1.59E+06
putfield putfield putfield getfield ldc,,,2.20E+06
putfield putfield putfield newInsn dup,,,144483
putfield putfield putfield putfield getfield,,,2.76E+06
putfield putfield putfield putfield newInsn,,,247237
putfield putfield putfield putfield putfield,,,2.43E+06
sipush aload dupX2 iconst3 aload,,,446338
sipush invokevirtual newInsn dup invokespecial,,,24802.6
swap iconst1 isub dupX2 istore,,,184154
swap ifeq iload newInsn dup,,,142779
swap ifge dup aload invokestatic,,,1.56E+06
